Node ID,round,period,step,Simulation time (seconds),Chronological time (seconds)
0,1,0,0,0,0.0250019
0,1,0,1,0,0.0250019
1,1,0,0,0,0.0250019
1,1,0,1,0,0.0250019
2,1,0,0,0,0.0255373
2,1,0,1,0,0.0255373
3,1,0,0,0,0.0255373
3,1,0,1,0,0.0255373
4,1,0,0,0,0.0255373
4,1,0,1,0,0.0255373
5,1,0,0,0,0.0255373
5,1,0,1,0,0.0255373
6,1,0,0,0,0.0255373
6,1,0,1,0,0.0255373
7,1,0,0,0,0.026526
7,1,0,1,0,0.026526
8,1,0,0,0,0.026526
8,1,0,1,0,0.026526
9,1,0,0,0,0.026526
9,1,0,1,0,0.026526
10,1,0,0,0,0.026526
10,1,0,1,0,0.026526
11,1,0,0,0,0.026526
11,1,0,1,0,0.026526
12,1,0,0,0,0.0275292
12,1,0,1,0,0.0275292
13,1,0,0,0,0.0275292
13,1,0,1,0,0.0275292
14,1,0,0,0,0.0275292
14,1,0,1,0,0.0275292
15,1,0,0,0,0.0275292
15,1,0,1,0,0.0275292
16,1,0,0,0,0.0275292
16,1,0,1,0,0.0275292
17,1,0,0,0,0.0285224
17,1,0,1,0,0.0285224
18,1,0,0,0,0.0285224
18,1,0,1,0,0.0285224
19,1,0,0,0,0.0285224
19,1,0,1,0,0.0285224
20,1,0,0,0,0.0285224
20,1,0,1,0,0.0285224
21,1,0,0,0,0.0295216
21,1,0,1,0,0.0295216
22,1,0,0,0,0.0295216
22,1,0,1,0,0.0295216
23,1,0,0,0,0.0295216
23,1,0,1,0,0.0295216
24,1,0,0,0,0.0295216
24,1,0,1,0,0.0295216
25,1,0,0,0,0.0295216
25,1,0,1,0,0.0295216
26,1,0,0,0,0.0305216
26,1,0,1,0,0.0305216
27,1,0,0,0,0.0305216
27,1,0,1,0,0.0305216
28,1,0,0,0,0.0305216
28,1,0,1,0,0.0305216
29,1,0,0,0,0.0305216
29,1,0,1,0,0.0305216
30,1,0,0,0,0.0305216
30,1,0,1,0,0.0305216
31,1,0,0,0,0.0305216
31,1,0,1,0,0.0315218
32,1,0,0,0,0.0315218
32,1,0,1,0,0.0315218
33,1,0,0,0,0.0315218
33,1,0,1,0,0.0315218
34,1,0,0,0,0.0315218
34,1,0,1,0,0.0315218
35,1,0,0,0,0.0315218
35,1,0,1,0,0.0315218
36,1,0,0,0,0.0315218
36,1,0,1,0,0.0315218
37,1,0,0,0,0.0325195
37,1,0,1,0,0.0325195
38,1,0,0,0,0.0325195
38,1,0,1,0,0.0325195
39,1,0,0,0,0.0325195
39,1,0,1,0,0.0325195
40,1,0,0,0,0.0325195
40,1,0,1,0,0.0325195
41,1,0,0,0,0.0325195
41,1,0,1,0,0.0325195
42,1,0,0,0,0.0335194
42,1,0,1,0,0.0335194
43,1,0,0,0,0.0335194
43,1,0,1,0,0.0335194
44,1,0,0,0,0.0335194
44,1,0,1,0,0.0335194
45,1,0,0,0,0.0335194
45,1,0,1,0,0.0335194
46,1,0,0,0,0.0335194
46,1,0,1,0,0.0335194
47,1,0,0,0,0.0335194
47,1,0,1,0,0.034521
48,1,0,0,0,0.034521
48,1,0,1,0,0.034521
49,1,0,0,0,0.034521
49,1,0,1,0,0.034521
50,1,0,0,0,0.034521
50,1,0,1,0,0.034521
51,1,0,0,0,0.034521
51,1,0,1,0,0.034521
52,1,0,0,0,0.034521
52,1,0,1,0,0.034521
53,1,0,0,0,0.0355212
53,1,0,1,0,0.0355212
54,1,0,0,0,0.0355212
54,1,0,1,0,0.0355212
55,1,0,0,0,0.0355212
55,1,0,1,0,0.0355212
56,1,0,0,0,0.0355212
56,1,0,1,0,0.0355212
57,1,0,0,0,0.0355212
57,1,0,1,0,0.0355212
58,1,0,0,0,0.0365212
58,1,0,1,0,0.0365212
59,1,0,0,0,0.0365212
59,1,0,1,0,0.0365212
60,1,0,0,0,0.0365212
60,1,0,1,0,0.0365212
61,1,0,0,0,0.0365212
61,1,0,1,0,0.0365212
62,1,0,0,0,0.0365212
62,1,0,1,0,0.0365212
63,1,0,0,0,0.0375211
63,1,0,1,0,0.0375211
64,1,0,0,0,0.0375211
64,1,0,1,0,0.0375211
65,1,0,0,0,0.0375211
65,1,0,1,0,0.0385198
66,1,0,0,0,0.0395201
66,1,0,1,0,0.0395201
67,1,0,0,0,0.0395201
67,1,0,1,0,0.0395201
68,1,0,0,0,0.0395201
68,1,0,1,0,0.0395201
69,1,0,0,0,0.0395201
69,1,0,1,0,0.0395201
70,1,0,0,0,0.0395201
70,1,0,1,0,0.0395201
